oid,tp,slope_at_tp,L50,M_Ni,E_exp,nobs,tobs
ZTF23aabutzu,105.86663775029592,-3.063829094866266e+43,2.9777734089403954e+43,137.63179078576104,4.081777491032764e+52,74,261.6537616001442
ZTF23aabbrdb,67.38688080012798,-4.4417632717732726e+39,9.290983514893846e+41,0.09569777223222031,7.084269315510864e+49,10,75.90508100017905
ZTF23aaawatw,83.92402199981734,-3.445773015251884e+42,6.014434002487207e+43,157.85291526610257,1.0940718716364293e+53,26,174.66900460002944
ZTF20acwflza,77.39237270015292,-2.0406209743208713e+42,4.0580784490502467e+42,10.676319252174423,5.997663870477927e+50,17,150.7502200002782
ZTF22acahury,70.92450235015713,-3.676362859542853e+40,1.8613818836388134e+42,0.09459234859208938,3.5186979821035922e+50,11,80.95908570010215
ZTF22abyokkf,117.79612275026739,-1.6776670837146285e+40,1.505667137628884e+42,-2.615146655415155,,21,173.7424885001965
ZTF22abxgnre,79.8454977502115,-1.5577623800902112e+39,2.1692614263262097e+41,0.032288104316464575,6.018270293182963e+48,8,84.85730330040678
ZTF22abvaxqi,64.93403935036622,3.1806283850540096e+40,2.037172515354107e+42,0.681712287010961,2.042975920873286e+50,9,76.89587960019708
ZTF22abunrdy,134.7926099500619,-5.577473475232221e+40,2.3713487373866692e+42,0.24321099513217526,1.7399896260611916e+51,17,193.73697920003906
ZTF22abtcphd,68.82095490023494,-1.211329761408162e+40,9.340536016847102e+41,0.09518582870083234,7.499500770275088e+49,13,74.76805560011417
ZTF22abtcsyd,81.50558455009013,-9.452448990683051e+39,1.4056980195498584e+42,0.10378101777671872,2.5087180295587923e+50,10,121.87909730011597
ZTF22abtcyhv,80.86524305003695,-1.1463412843778127e+40,6.519719670146698e+41,0.04209980024073221,6.099516929328825e+49,26,215.7072800998576
ZTF22abnejmu,66.94579290016554,-1.284976703188914e+40,2.3699498257210605e+41,0.010426779628399965,6.909474874526532e+48,12,67.92284730030224
ZTF22abmsaxp,105.75597224966623,-1.8683097320368882e+40,1.3234032619937642e+42,0.11942454165572855,3.652836170075706e+50,21,107.75206019962206
ZTF22abkkhao,121.76461230008863,-2.2633679731713696e+39,5.037414904118812e+41,0.0554969151195128,7.634340258807992e+49,29,128.7264698999934
ZTF22abjzweh,66.94567705015652,-3.730201091028156e+41,3.903996298180681e+43,2.5255694202619074,8.580002323474076e+52,21,80.90586800035089
ZTF22abhuvqj,64.85165510000661,-4.0299752094345223e+42,-2.33690618659853e+42,0.15129929518202528,,41,87.77054399996996
ZTF22abgveih,67.91671869996935,-1.6322404158404113e+40,8.086826747855684e+41,0.030484986285667384,7.362522437772789e+49,26,191.71309019997716
ZTF22abfzdkz,61.94316549994983,-7.71548357001263e+39,2.5415604232198417e+41,0.2933870588005497,2.6812077508460724e+48,32,128.78835649974644
ZTF22abfavpu,74.84198499983177,-4.3736335880806867e+43,1.0741774771668236e+41,0.05232587837891551,1.014725391533886e+48,53,83.82861110009253
ZTF22abewvtv,81.95281249983236,-2.8790788846923556e+40,1.730988838327834e+42,0.17058567852384254,3.4528221118848262e+50,24,96.86914349999279
ZTF22abcfics,66.3655266999267,1.9171894242169238e+43,2.0451069149833652e+42,0.132386155186164,3.411803009936621e+50,38,67.84901629993692
ZTF22abbiwrr,61.960231449920684,-1.9549496305226776e+40,1.6758662087564787e+42,0.17892727659670227,1.7710263605691401e+50,26,102.82090270007029
ZTF22abaegxq,61.36729170032777,-1.835047054045323e+43,1.3985917679580164e+42,0.13746587047329678,1.2671435221916183e+50,53,102.81203710008413
ZTF22aazjiam,105.81959489989094,-8.753573783770065e+40,6.14563891570017e+42,0.5817331022941006,6.354582873767002e+51,24,107.77714119991288
ZTF22aazjqtu,84.92251734994352,-1.6732322486251443e+40,9.423187156996145e+41,0.0897615450252461,1.2058642510899284e+50,21,85.95422449987382
ZTF22aawptbl,72.94221645011567,-3.6806312692864274e+40,4.1832950057516175e+42,1.2371268057503497,1.0342719267850488e+51,18,144.82883100025356
ZTF22aaspkif,83.80704279989004,6.899828430177912e+42,5.720735092909195e+42,7.935800233598026,1.609536032329167e+51,21,84.83881939994171
ZTF22aasojye,113.91028934996575,-5.225988988360809e+40,6.233893025754442e+41,0.08517680243920357,9.309497506431599e+49,36,114.8580323997885
ZTF22aaoxhuh,76.43564814981073,-2.7189491066471244e+39,3.3427174973987446e+41,0.043576826974664896,1.278634354564485e+49,22,90.89236109983176
